core,sapropel,element,n_windows,var_start,var_end,tau_var,p_var,ac_start,ac_end,tau_ac,p_ac
64PE406E1,S3,Mo,40,0.6078,27.2189,0.9949,0.0,0.366,0.8969,0.6462,0.0
64PE406E1,S3,U,40,1.0951,14.9121,0.9051,0.0,0.1998,0.7055,0.6692,0.0
64PE406E1,S4,Mo,40,0.3037,33.1536,0.9872,0.0,0.2302,0.8878,0.7385,0.0
64PE406E1,S4,U,40,0.8962,4.5727,0.9769,0.0,0.1797,0.4431,0.6538,0.0
64PE406E1,S5,Mo,40,2.0297,91.0273,0.9897,0.0,0.5093,0.9696,0.8692,0.0
64PE406E1,S5,U,40,1.1368,10.0043,0.8231,0.0,0.2317,0.722,0.8,0.0
64PE406E1,S6,Mo,40,2.0613,15.6301,0.9179,0.0,0.2411,0.4693,0.4538,0.0
64PE406E1,S6,U,40,1.6096,14.2344,0.9667,0.0,-0.0291,0.293,0.3923,0.0004
MS21,S1,Mo,40,0.2693,6.9709,0.9949,0.0,0.0964,0.8745,0.8513,0.0
MS21,S1,U,40,0.6452,1.1909,0.6744,0.0,0.1231,0.435,0.6256,0.0
MS66,S1,Mo,40,6.0963,26.4942,0.7974,0.0,0.9353,0.6998,-0.9333,0.0
MS66,S1,U,40,1.2076,8.534,0.9462,0.0,0.4963,0.448,-0.059,0.592
MS66,S3,Mo,40,0.7466,62.601,0.9949,0.0,0.3005,0.8493,0.6538,0.0
MS66,S3,U,40,1.1563,9.825,0.7949,0.0,0.0209,0.6765,0.8692,0.0
