model,dataset,64PE406E1_S3,64PE406E1_S4,64PE406E1_S5,64PE406E1_S6,MS21_S1,MS66_S1,MS66_S3
arsenal,ts_1500,hopf(3/5),hopf(3/5),null(5/5),null(5/5),,,
arsenal,ts_500,null(5/5),null(5/5),null(5/5),null(5/5),null(5/5),hopf(2/5),null(5/5)
catch22,ts_1500,hopf(2/5),fold(2/5),hopf(2/5),fold(2/5),fold(2/5),transcritical(4/5),fold(3/5)
catch22,ts_500,hopf(2/5),transcritical(4/5),hopf(2/5),fold(3/5),transcritical(3/5),transcritical(3/5),transcritical(3/5)
cnn_lstm,ts_1500,hopf(2/5),transcritical(4/5),hopf(2/5),hopf(3/5),hopf(3/5),hopf(3/5),hopf(3/5)
cnn_lstm,ts_500,hopf(3/5),hopf(5/5),hopf(3/5),hopf(2/5),hopf(5/5),hopf(3/5),hopf(5/5)
lstm,ts_1500,transcritical(3/5),transcritical(4/5),transcritical(3/5),transcritical(3/5),hopf(2/5),hopf(3/5),fold(2/5)
lstm,ts_500,transcritical(3/5),hopf(4/5),hopf(2/5),transcritical(3/5),hopf(5/5),hopf(3/5),hopf(3/5)
minirocket,ts_1500,null(5/5),null(5/5),null(5/5),null(5/5),null(4/5),null(5/5),null(5/5)
minirocket,ts_500,fold(5/5),fold(5/5),fold(5/5),fold(5/5),fold(4/5),fold(5/5),fold(5/5)
mrsqm,ts_1500,transcritical(4/5),transcritical(4/5),transcritical(5/5),transcritical(5/5),transcritical(4/5),transcritical(5/5),transcritical(5/5)
mrsqm,ts_500,hopf(4/5),hopf(4/5),hopf(3/5),hopf(5/5),hopf(3/5),transcritical(3/5),hopf(5/5)
patchtst,ts_1500,transcritical(3/5),transcritical(4/5),transcritical(3/5),transcritical(4/5),transcritical(4/5),hopf(2/5),hopf(3/5)
patchtst,ts_500,hopf(4/5),hopf(5/5),hopf(3/5),transcritical(3/5),hopf(5/5),hopf(3/5),hopf(3/5)
resnet,ts_1500,fold(3/5),fold(4/5),transcritical(3/5),fold(2/5),hopf(3/5),transcritical(3/5),fold(3/5)
resnet,ts_500,hopf(2/5),hopf(5/5),hopf(3/5),fold(2/5),hopf(5/5),hopf(3/5),hopf(3/5)
rnn_fcn,ts_1500,transcritical(3/5),transcritical(5/5),fold(2/5),hopf(3/5),transcritical(3/5),transcritical(3/5),transcritical(4/5)
rnn_fcn,ts_500,hopf(3/5),hopf(3/5),hopf(3/5),hopf(3/5),hopf(5/5),hopf(3/5),hopf(3/5)
rocket,ts_1500,fold(5/5),fold(4/5),fold(5/5),fold(4/5),hopf(3/5),fold(3/5),fold(5/5)
rocket,ts_500,hopf(5/5),hopf(4/5),hopf(3/5),hopf(4/5),hopf(3/5),hopf(3/5),hopf(5/5)
st,ts_1500,,fold(2/4),fold(3/5),null(3/5),,,
st,ts_500,hopf(3/5),hopf(5/5),hopf(3/5),hopf(5/5),fold(3/5),hopf(3/5),hopf(4/5)
tcn,ts_1500,transcritical(4/5),transcritical(3/5),transcritical(3/5),transcritical(3/5),transcritical(3/5),transcritical(3/5),transcritical(3/5)
tcn,ts_500,hopf(3/5),hopf(5/5),hopf(3/5),hopf(2/5),hopf(5/5),hopf(3/5),hopf(3/5)
