model,dataset,pad_variant,best_val_f1,val_f1,val_acc,val_balanced_acc,test_f1,test_acc,n_params,training_time_min
arsenal,ts_1500,,,0.752237,0.753141,0.753396,,,,220.98
arsenal,ts_500,,,0.678277,0.679885,0.680113,,,,84.7
bop,ts_1500,,,0.222299,0.284296,0.284992,,,,150.58
bop,ts_500,,,0.157057,0.260253,0.261393,,,,16.16
boss,ts_1500,,,0.679476,0.690075,0.690231,,,,90.19
boss,ts_500,,,0.532341,0.545738,0.545818,,,,91.14
catch22,ts_1500,,,0.729719,0.729397,0.729556,,,,12.08
catch22,ts_500,,,0.637787,0.636661,0.636769,,,,3.95
cif,ts_500,,,0.696888,0.695768,0.695912,,,,549.38
cnn_lstm,ts_1500,1,0.873256,,,,0.862613,0.8625,23574,77.13
cnn_lstm,ts_1500,2,0.874498,,,,0.851856,0.852,23574,78.13
cnn_lstm,ts_500,1,0.81203,,,,0.811424,0.8104,23574,135.62
cnn_lstm,ts_500,2,0.813932,,,,0.816328,0.8158,23574,108.93
drcif,ts_1500,,,0.783904,0.784422,0.784588,,,,1030.19
drcif,ts_500,,,0.689244,0.689485,0.689558,,,,202.47
fastshapelet,ts_1500,,,0.639738,0.645477,0.645931,,,,706.0
fastshapelet,ts_500,,,0.520099,0.531866,0.532389,,,,36.3
grsf,ts_1500,,,0.710566,0.714322,0.714609,,,,2187.96
grsf,ts_500,,,0.628303,0.631785,0.631865,,,,224.77
inceptiontime,ts_1500,1,0.788986,,,,0.78204,0.7825,223940,32.98
inceptiontime,ts_500,1,0.745163,,,,0.745673,0.7446,223940,70.01
lps,ts_1500,,,0.546656,0.550754,0.551188,,,,1.65
lps,ts_500,,,0.488047,0.493265,0.493596,,,,1.64
ls,ts_500,,,0.107637,0.25392,0.252638,,,,450.63
lstm,ts_1500,1,0.873495,,,,0.853247,0.8535,190852,60.33
lstm,ts_500,1,0.807015,,,,0.808518,0.808,190852,45.13
minirocket,ts_1500,,,0.761525,0.763065,0.763217,,,,12.14
minirocket,ts_500,,,0.676265,0.67697,0.677094,,,,10.27
mrsqm,ts_1500,,,0.687137,0.686055,0.686183,,,,110.43
mrsqm,ts_500,,,0.581444,0.579715,0.579648,,,,35.0
multirocket,ts_1500,,,0.71817,0.717839,0.717893,,,,44.01
multirocket,ts_500,,,0.595302,0.595145,0.595087,,,,38.88
patchtst,ts_1500,1,0.752376,,,,0.743491,0.7435,68582,15.82
patchtst,ts_500,1,0.625357,,,,0.624478,0.626,48582,18.07
rdst,ts_1500,,,0.732607,0.73304,0.733173,,,,198.45
rdst,ts_500,,,0.632497,0.634349,0.634412,,,,82.26
resnet,ts_1500,1,0.764578,,,,0.763514,0.7625,503364,66.56
resnet,ts_500,1,0.692246,,,,0.696133,0.6948,503364,93.66
rnn_fcn,ts_1500,1,0.786862,,,,0.768107,0.768,1099780,85.7
rnn_fcn,ts_500,1,0.698546,,,,0.699405,0.6984,587780,108.67
rocket,ts_1500,,,0.756683,0.757538,0.757727,,,,91.21
rocket,ts_500,,,0.651023,0.650633,0.65069,,,,54.83
saxvsm,ts_1500,,,0.351643,0.355151,0.355466,,,,10.0
saxvsm,ts_500,,,0.331099,0.338008,0.337603,,,,1.2
st,ts_1500,,,0.733163,0.73593,0.73634,,,,851.06
st,ts_500,,,0.669323,0.669934,0.670148,,,,102.58
tcn,ts_1500,1,0.85847,,,,0.843423,0.844,432964,74.42
tcn,ts_500,1,0.800398,,,,0.797219,0.7976,432964,134.9
tsbf,ts_1500,,,0.636769,0.640327,0.640443,,,,0.2
tsbf,ts_500,,,0.559429,0.563279,0.563445,,,,0.19
tsf,ts_1500,,,0.794378,0.795226,0.795404,,,,60.62
tsf,ts_500,,,0.69486,0.696019,0.696126,,,,60.43
weasel2,ts_1500,,,0.585623,0.584422,0.584455,,,,427.16
weasel2,ts_500,,,0.544894,0.544733,0.544654,,,,73.75
