model,dataset,binary_auc,macro_f1,macro_auc_ovr,accuracy,auc_fold,auc_hopf,auc_transcritical,inference_time_sec
arsenal,ts_1500,0.94056,0.7530893897445187,0.883018,0.755,0.916394,0.974112,0.931174,3160.35
arsenal,ts_500,0.889976,0.674532293595959,0.843263,0.6748847464421728,0.844639,0.950465,0.874787,2570.36
bop,ts_500,0.51268,0.1542327999057157,0.506452,0.25876929244337543,0.509299,0.501699,0.527077,164.72
boss,ts_1500,0.954341,0.6777248393392243,0.880608,0.689,0.935064,0.992664,0.935296,1154.82
catch22,ts_1500,0.947178,0.731130266830266,0.901441,0.7305,0.915034,0.988252,0.938248,42.47
catch22,ts_500,0.885132,0.6267835538066333,0.851468,0.6247745039085989,0.830389,0.962069,0.862884,36.06
cnn_lstm,ts_1500,0.981816,0.8593941267327821,0.967629,0.8595,0.983196,0.999152,0.9631,3.61
cnn_lstm,ts_500,0.968776,0.814112956768091,0.948491,0.813,0.964335,0.993748,0.948244,3.61
drcif,ts_500,0.924617,0.6781125491722341,0.879268,0.6780918019643215,0.888623,0.986932,0.898231,7126.3
fastshapelet,ts_500,0.86371,0.52150451600916,0.773095,0.5347765083183003,0.832471,0.909198,0.849425,402.51
grsf,ts_500,0.91209,0.6153383099599932,0.837739,0.6189617157747044,0.86691,0.982993,0.886306,1792.11
inceptiontime,ts_1500,0.966826,0.781591751288221,0.926373,0.782,0.957128,0.996856,0.946494,18.8
inceptiontime,ts_500,0.9485,0.7452395503935377,0.91807,0.7442,0.933246,0.990955,0.9213,17.57
lps,ts_1500,0.901973,0.5328825534266348,0.788324,0.537,0.86796,0.946716,0.891244,6.28
lps,ts_500,0.812454,0.4781129498559107,0.739375,0.48266185608338347,0.74189,0.892661,0.802789,15.83
ls,ts_500,0.5,0.10741797252658718,0.502175,0.25335738624974946,0.5,0.5,0.5,47.92
lstm,ts_1500,0.981111,0.8532469865661447,0.962315,0.8535,0.98328,0.99696,0.963092,11.21
lstm,ts_500,0.965651,0.8083132584541253,0.944993,0.8078,0.962777,0.986696,0.947479,8.52
minirocket,ts_1500,0.959133,0.7521229647251597,0.911483,0.753,0.9395,0.992368,0.945532,13.01
minirocket,ts_500,0.906168,0.6684322989162924,0.863858,0.6676688715173381,0.864944,0.966522,0.886991,11.05
mrsqm,ts_1500,0.953784,0.6904599004971883,0.877511,0.6885,0.93564,0.9856,0.940112,516.48
mrsqm,ts_500,0.887049,0.5746034621931578,0.815215,0.5748647023451593,0.846573,0.958443,0.856056,397.47
multirocket,ts_1500,0.78888,0.4687139776826268,0.701052,0.491,0.80754,0.8026,0.7565,164.3
multirocket,ts_500,0.853245,0.5831094712324547,0.79793,0.5830827821206654,0.819986,0.915467,0.824213,136.58
patchtst,ts_1500,0.950493,0.7434906415468912,0.902656,0.7435,0.926568,0.98642,0.938492,4.47
patchtst,ts_500,0.917662,0.6244775843031747,0.867384,0.626,0.890817,0.976393,0.885775,2.21
rdst,ts_1500,0.878333,0.7309737040425757,0.819,0.7285,0.862,0.905,0.868,762.42
rdst,ts_500,0.785207,0.618277193341815,0.745602,0.6183603928643014,0.757385,0.832585,0.765603,447.42
resnet,ts_1500,0.959619,0.7630656243547788,0.919673,0.762,0.946164,0.995516,0.937176,25.63
resnet,ts_500,0.919797,0.695925181041095,0.886476,0.6946,0.884554,0.985794,0.889044,27.24
rnn_fcn,ts_1500,0.958524,0.7681070041878998,0.921889,0.768,0.940708,0.996424,0.93844,15.41
rnn_fcn,ts_500,0.922393,0.6997995222792972,0.890533,0.6988,0.890006,0.984991,0.89218,15.59
rocket,ts_1500,0.962883,0.7628142656817962,0.914813,0.764,0.94478,0.99524,0.948628,606.01
rocket,ts_500,0.902443,0.6579411859156467,0.854175,0.6578472639807577,0.861355,0.963506,0.882421,497.05
saxvsm,ts_500,0.614402,0.32909982751508865,0.585831,0.3371417117658849,0.607155,0.632371,0.603655,503.6
st,ts_1500,0.958747,0.7276795785882809,0.901169,0.732,0.941982,0.99162,0.94264,3846.29
st,ts_500,0.924509,0.6661535521395447,0.865336,0.6662657847263981,0.891463,0.981355,0.90065,1194.59
tcn,ts_1500,0.979661,0.8434233240633207,0.957655,0.844,0.977432,0.9976,0.963952,33.02
tcn,ts_500,0.964281,0.7972190704576294,0.940217,0.7976,0.955165,0.993311,0.944367,32.9
tsbf,ts_1500,0.936449,0.637515999795103,0.85383,0.642,0.902716,0.987148,0.919484,0.52
tsbf,ts_500,0.859949,0.5551045825368763,0.797294,0.5576267789136099,0.798815,0.949576,0.831385,1.01
tsf,ts_1500,0.974536,0.8020305424428471,0.932353,0.8035,0.969142,0.999016,0.95545,220.22
tsf,ts_500,0.942459,0.6896265705072908,0.885976,0.6905191421126479,0.92537,0.993326,0.9086,481.11
weasel2,ts_1500,0.754333,0.5606343171796738,0.705,0.5575,0.748,0.781,0.734,1027.47
weasel2,ts_500,0.727677,0.5475713968943892,0.697073,0.5456003207055522,0.70186,0.76386,0.717284,850.64
