model,dataset,accuracy,n_test,fold_trans_rate,fold_hopf_rate,trans_hopf_rate
arsenal,ts_1500,0.755,2000,0.138,0.089,0.077
arsenal,ts_500,0.6748847464421728,4989,0.17581097316780137,0.0792,0.09531437725270324
bop,ts_500,0.25876929244337543,4989,0.05446535843011614,0.0364,0.022026431718061675
boss,ts_1500,0.689,2000,0.144,0.118,0.143
catch22,ts_1500,0.7305,2000,0.169,0.076,0.076
catch22,ts_500,0.6247745039085989,4989,0.20464557468962755,0.084,0.09691629955947137
cnn_lstm,ts_1500,0.8595,2000,0.085,0.057,0.051
cnn_lstm,ts_500,0.813,5000,0.116,0.0608,0.04
drcif,ts_500,0.6780918019643215,4989,0.18181818181818182,0.0872,0.08009611533840609
fastshapelet,ts_500,0.5347765083183003,4989,0.18982779335202243,0.1492,0.1698037645174209
grsf,ts_500,0.6189617157747044,4989,0.19223067681217462,0.1176,0.13776531838205847
inceptiontime,ts_1500,0.782,2000,0.158,0.077,0.043
inceptiontime,ts_500,0.7442,5000,0.1656,0.0572,0.0624
lps,ts_1500,0.537,2000,0.193,0.205,0.209
lps,ts_500,0.48266185608338347,4989,0.1870244293151782,0.1872,0.21145374449339208
ls,ts_500,0.25335738624974946,4989,0.4937925510612735,0.496,0.004004805766920304
lstm,ts_1500,0.8535,2000,0.096,0.056,0.045
lstm,ts_500,0.8078,5000,0.108,0.0644,0.0396
minirocket,ts_1500,0.753,2000,0.152,0.085,0.07
minirocket,ts_500,0.6676688715173381,4989,0.19663596315578694,0.0824,0.08490188225871045
mrsqm,ts_1500,0.6885,2000,0.206,0.101,0.112
mrsqm,ts_500,0.5748647023451593,4989,0.23107729275130157,0.122,0.14297156587905488
multirocket,ts_1500,0.491,2000,0.166,0.142,0.022
multirocket,ts_500,0.5830827821206654,4989,0.2274729675610733,0.112,0.1065278334000801
patchtst,ts_1500,0.7435,2000,0.183,0.079,0.054
patchtst,ts_500,0.626,5000,0.214,0.0884,0.0956
rdst,ts_1500,0.7285,2000,0.19,0.093,0.077
rdst,ts_500,0.6183603928643014,4989,0.22066479775730877,0.1068,0.10853023628354025
resnet,ts_1500,0.762,2000,0.164,0.073,0.054
resnet,ts_500,0.6946,5000,0.1844,0.07,0.0708
rnn_fcn,ts_1500,0.768,2000,0.136,0.077,0.075
rnn_fcn,ts_500,0.6988,5000,0.1628,0.0744,0.0836
rocket,ts_1500,0.764,2000,0.15,0.086,0.075
rocket,ts_500,0.6578472639807577,4989,0.20704845814977973,0.0896,0.09050861033239888
saxvsm,ts_500,0.3371417117658849,4989,0.28594313175810976,0.222,0.21225470564677612
st,ts_1500,0.732,2000,0.168,0.104,0.086
st,ts_500,0.6662657847263981,4989,0.19062875450540648,0.088,0.10812975570684821
tcn,ts_1500,0.844,2000,0.104,0.064,0.039
tcn,ts_500,0.7976,5000,0.1196,0.0628,0.046
tsbf,ts_1500,0.642,2000,0.161,0.126,0.164
tsbf,ts_500,0.5576267789136099,4989,0.1766119343211854,0.118,0.1682018422106528
tsf,ts_1500,0.8035,2000,0.121,0.079,0.07
tsf,ts_500,0.6905191421126479,4989,0.16019223067681218,0.0972,0.11854225070084101
weasel2,ts_1500,0.5575,2000,0.251,0.105,0.106
weasel2,ts_500,0.5456003207055522,4989,0.24148978774529437,0.1376,0.13135762915498597
