position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_neutral,p_pre_transition,p_transition
182,12.771,0.6684212227316373,0.20539229753268665,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
186,12.743,0.657655514150557,0.21728646662091217,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
191,12.708,0.6941096185751201,0.17414656780390672,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
196,12.673,0.6978670756764792,0.17440798430577167,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
200,12.644,0.6902470176242324,0.17461348670411897,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
205,12.608,0.697172059875182,0.1527181504542072,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
210,12.573,0.7186581512307422,0.1481291296729269,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
214,12.545,0.7266078281405653,0.15431374193971142,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
219,12.51,0.7216511044718296,0.15531882834181968,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
224,12.474,0.7081376697948564,0.1234547043906526,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
228,12.446,0.709900907354901,0.11770624152051502,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
233,12.411,0.7402302397732416,0.1371372597806838,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
238,12.375,0.744628688342928,0.15031720305719246,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
243,12.337,0.7032548755866926,0.13782920519148734,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
247,12.307,0.6597616872111521,0.11662737646915207,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
252,12.27,0.6585933610462696,0.12602740338458782,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
257,12.233,0.6661593608368916,0.10856021428008218,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
261,12.203,0.664209450881691,0.09608515820567057,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
266,12.165,0.5567964565476738,-0.0007734291533500372,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
271,12.127,0.5172216137927286,-0.024252790755139295,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
275,12.097,0.5199706009026993,-0.02587658346327523,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
280,12.06,0.5147897026998429,-0.02682693725380348,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
285,12.024,0.516832974706894,-0.06438636658029201,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
289,11.997,0.5160061576340971,-0.06185996356080032,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
294,11.962,0.519642688047202,-0.05959691017628776,-0.30769230769230776,-0.6384615384615385,forced,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
