position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_neutral,p_pre_transition,p_transition
51,23.728,0.13498525929183733,-0.10013288333595749,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9949552828682268,0.005044717131773315,0.005044717131773315
52,23.704,0.14252625491747664,-0.1548778792400901,0.005204159786175704,0.12338430337813927,neutral,Mo,0.997470978573325,0.002529021426675059,0.002529021426675059
53,23.68,0.14230267679471295,-0.21791736922291172,0.005204159786175704,0.12338430337813927,neutral,Mo,0.996575670703583,0.0034243292964168492,0.0034243292964168492
54,23.656,0.1430328409315572,-0.1839492004690147,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9955119644009742,0.004488035599025667,0.004488035599025667
56,23.608,0.1383336595032137,-0.22210426884945175,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9958289572465943,0.004171042753405632,0.004171042753405632
57,23.584,0.13963973445735317,-0.2160690763798006,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9948544254035835,0.005145574596416519,0.005145574596416519
58,23.559,0.1355736875986231,-0.20914483860892744,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9957225266643963,0.004277473335603637,0.004277473335603637
60,23.511,0.13273473116293205,-0.17713052018164616,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9972819867366072,0.0027180132633928306,0.0027180132633928306
61,23.487,0.13261662874988306,-0.21290553430631692,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9972995957766522,0.0027004042233477435,0.0027004042233477435
62,23.463,0.13609046599325292,-0.16176483982299483,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9974859128545919,0.002514087145408026,0.002514087145408026
64,23.415,0.12370044055627621,-0.13022518126437765,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9979337195185547,0.0020662804814451357,0.0020662804814451357
65,23.391,0.126244073863573,-0.08985143146422866,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9947124437158699,0.0052875562841300724,0.0052875562841300724
66,23.367,0.12522698190128437,-0.08376369457146104,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9869410211573013,0.0130589788426987,0.0130589788426987
68,23.319,0.1278029618403921,-0.10051331292393745,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9903059152241309,0.009694084775869007,0.009694084775869007
69,23.295,0.1323610063724888,-0.10630785816087475,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9948688318969169,0.005131168103083168,0.005131168103083168
70,23.271,0.13643247104035403,-0.13627709789078205,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9972219126205641,0.0027780873794359083,0.0027780873794359083
71,23.247,0.13498525929183733,-0.10013288333595749,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9970467506106733,0.0029532493893267694,0.0029532493893267694
73,23.199,0.14230267679471295,-0.21791736922291172,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9978403355071452,0.0021596644928548944,0.0021596644928548944
74,23.175,0.1430328409315572,-0.1839492004690147,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9955119644009742,0.004488035599025667,0.004488035599025667
75,23.151,0.14116758026331375,-0.21672692229967327,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9957068459948502,0.004293154005149786,0.004293154005149786
77,23.103,0.13963973445735317,-0.2160690763798006,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9947224226286562,0.005277577371343807,0.005277577371343807
78,23.078,0.1355736875986231,-0.20914483860892744,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9957225266643963,0.004277473335603637,0.004277473335603637
79,23.054,0.13544354117984084,-0.20717936164324433,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9963723010693311,0.0036276989306690613,0.0036276989306690613
81,23.006,0.13261662874988306,-0.21290553430631692,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9964360676798625,0.003563932320137417,0.003563932320137417
82,22.982,0.13609046599325292,-0.16176483982299483,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9974859128545919,0.002514087145408026,0.002514087145408026
83,22.958,0.12414230536592456,-0.10090578093424586,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9975426057287269,0.002457394271273042,0.002457394271273042
85,22.91,0.126244073863573,-0.08985143146422866,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9908183083127526,0.00918169168724733,0.00918169168724733
86,22.886,0.12522698190128437,-0.08376369457146104,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9869410211573013,0.0130589788426987,0.0130589788426987
87,22.862,0.12894493207429195,-0.08991308986996242,0.005204159786175704,0.12338430337813927,neutral,Mo,0.988076544323212,0.011923455676788004,0.011923455676788004
88,22.838,0.1278029618403921,-0.10051331292393745,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9923749060005367,0.00762509399946329,0.00762509399946329
90,22.79,0.13643247104035403,-0.13627709789078205,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9969309875750165,0.0030690124249835443,0.0030690124249835443
91,22.766,0.13498525929183733,-0.10013288333595749,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9970467506106733,0.0029532493893267694,0.0029532493893267694
92,22.742,0.14252625491747664,-0.1548778792400901,0.005204159786175704,0.12338430337813927,neutral,Mo,0.997470978573325,0.002529021426675059,0.002529021426675059
94,22.694,0.1430328409315572,-0.1839492004690147,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9972287953679567,0.0027712046320431554,0.0027712046320431554
95,22.67,0.14116758026331375,-0.21672692229967327,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9957068459948502,0.004293154005149786,0.004293154005149786
96,22.646,0.1383336595032137,-0.22210426884945175,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9946126060101779,0.005387393989822174,0.005387393989822174
98,22.597,0.1355736875986231,-0.20914483860892744,0.005204159786175704,0.12338430337813927,neutral,Mo,0.9956109481270486,0.004389051872951315,0.004389051872951315
