position,age_kyr_bp,variance,lag1_ac,ktau_variance,ktau_lag1_ac,segment_type,element,p_neutral,p_pre_transition,p_transition
51,23.728,0.4645532655528328,-0.22166423314800582,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
52,23.704,0.41671190605246905,-0.17487891039942785,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
53,23.68,0.40684323106408793,-0.1668699404521882,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
54,23.656,0.41436460882785214,-0.16898507615719427,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
56,23.608,0.37505575899201604,-0.11584623594674476,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
57,23.584,0.3760408733320035,-0.12316084739624528,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
58,23.559,0.38284157880888037,-0.10530292165660224,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
60,23.511,0.36735897125985234,-0.10354206847857335,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
61,23.487,0.4149516310412733,-0.08655470821449242,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
62,23.463,0.426076105088803,-0.13896232771230713,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
64,23.415,0.4558149308134674,-0.14121276266281463,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
65,23.391,0.456894917731654,-0.17169352355642692,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
66,23.367,0.46418504392010945,-0.18685528846576302,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
68,23.319,0.46865166782305906,-0.20315143632022648,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
69,23.295,0.4598524574891364,-0.21359479254791489,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
70,23.271,0.4639923167815085,-0.2137518415579578,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
71,23.247,0.4645532655528328,-0.22166423314800582,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
73,23.199,0.40684323106408793,-0.1668699404521882,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
74,23.175,0.41436460882785214,-0.16898507615719427,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
75,23.151,0.383026950310594,-0.13558451106084363,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
77,23.103,0.3760408733320035,-0.12316084739624528,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
78,23.078,0.38284157880888037,-0.10530292165660224,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
79,23.054,0.36757664970028137,-0.10560735150266147,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
81,23.006,0.4149516310412733,-0.08655470821449242,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
82,22.982,0.426076105088803,-0.13896232771230713,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
83,22.958,0.42647870515679265,-0.1471518810100693,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
85,22.91,0.456894917731654,-0.17169352355642692,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
86,22.886,0.46418504392010945,-0.18685528846576302,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
87,22.862,0.46375115017089114,-0.18253757633793033,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
88,22.838,0.46865166782305906,-0.20315143632022648,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
90,22.79,0.4639923167815085,-0.2137518415579578,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
91,22.766,0.4645532655528328,-0.22166423314800582,-0.006926354661263934,0.2197332784808026,neutral,U,0.9999998999999902,1.0000000994736041e-07,1.0000000994736041e-07
